"customer_id","revenue","number_of_orders","recency_days","purchase","zip_code","recency_score_indep","frequency_score_indep","monetary_score_indep","rfm_score_indep","recency_score_seq","frequency_score_seq","monetary_score_seq","rfm_score_seq"
152,750.65,25,4,0,8226,5,5,5,"555",5,4,3,"543"
153,1046.75,24,39,0,21212,5,5,5,"555",5,4,5,"545"
154,268.9,4,12,0,20895,5,3,4,"534",5,2,5,"525"
155,436,7,77,0,21210,4,4,4,"444",4,3,4,"434"
156,1525.7,24,32,1,21042,5,5,5,"555",5,4,5,"545"
157,358.95,12,794,0,21146,1,4,4,"144",1,5,4,"154"
158,161,3,19,0,22601,5,2,3,"523",5,1,5,"515"
159,1466.19,17,118,0,8540,4,5,5,"455",4,4,5,"445"
160,89,1,145,0,20147,4,1,2,"412",4,1,4,"414"
161,998.9,17,87,0,22033,4,5,5,"455",4,4,5,"445"
162,183.9,3,319,0,22192,2,2,3,"223",2,3,4,"234"
163,409.45,18,32,0,22042,5,5,4,"554",5,4,1,"541"
164,156,3,623,0,20118,1,2,3,"123",1,4,4,"144"
165,196,3,41,0,22308,5,2,3,"523",5,1,5,"515"
166,1314.5,27,29,1,21146,5,5,5,"555",5,5,2,"552"
167,48,2,237,0,19446,3,2,1,"321",3,2,1,"321"
168,145,5,776,0,20708,1,3,3,"133",1,5,2,"152"
169,396.7,9,95,0,20901,4,4,4,"444",4,3,4,"434"
170,938,13,238,1,21035,3,5,5,"355",3,5,4,"354"
171,354.8,12,8,0,20112,5,4,4,"544",5,3,3,"533"
172,704.8,16,263,0,22181,3,5,5,"355",3,5,4,"354"
173,286.4,6,10,1,22205,5,3,4,"534",5,2,5,"525"
174,171.3,7,138,1,21218,4,4,3,"443",4,3,1,"431"
175,592.45,13,318,1,20158,2,5,5,"255",2,5,4,"254"
176,201,5,188,0,19087,4,3,3,"433",4,2,4,"424"
177,34,1,332,0,20008,2,1,1,"211",2,1,2,"212"
178,117,4,34,0,22151,5,3,2,"532",5,2,1,"521"
179,39.95,1,81,0,19152,4,1,1,"411",4,1,2,"412"
180,320.85,10,15,0,22003,5,4,4,"544",5,3,3,"533"
181,64,2,43,0,20817,5,2,2,"522",5,1,3,"513"
182,159.5,4,19,0,20815,5,3,3,"533",5,2,3,"523"
183,0,1,113,0,23229,4,1,1,"411",4,1,1,"411"
184,39,1,248,0,22207,3,1,1,"311",3,1,2,"312"
185,769,23,266,0,22304,3,5,5,"355",3,5,4,"354"
186,1503.8,35,85,0,19087,4,5,5,"455",4,5,4,"454"
187,307,5,127,0,8226,4,3,4,"434",4,2,5,"425"
188,479.9,15,274,0,8062,3,5,4,"354",3,5,2,"352"
189,661.05,19,68,0,22207,4,5,5,"455",4,4,4,"444"
190,0,1,970,0,22182,1,1,1,"111",1,1,1,"111"
191,169,5,578,0,20817,1,3,3,"133",1,5,2,"152"
192,210,5,269,0,22314,3,3,3,"333",3,3,4,"334"
193,59,1,206,1,21244,4,1,2,"412",4,1,3,"413"
194,319,10,32,0,23229,5,4,4,"544",5,3,3,"533"
195,783.5,14,317,0,18940,2,5,5,"255",2,5,5,"255"
196,153.95,8,202,0,21044,4,4,3,"443",4,3,1,"431"
197,179,1,276,1,19010,3,1,3,"313",3,1,5,"315"
198,196,3,657,0,8057,1,2,3,"123",1,4,5,"145"
199,236,8,141,0,8034,4,4,3,"443",4,3,2,"432"
200,68,1,292,0,20155,2,1,2,"212",2,1,4,"214"
201,582.45,23,53,0,19083,5,5,5,"555",5,4,2,"542"
202,108.5,2,73,0,22903,4,2,2,"422",4,1,5,"415"
203,608.5,15,139,0,20109,4,5,5,"455",4,4,3,"443"
204,117,4,847,0,19087,1,3,2,"132",1,4,3,"143"
205,89.95,3,633,0,22901,1,2,2,"122",1,4,2,"142"
206,0,2,334,0,21234,2,2,1,"221",2,2,1,"221"
207,132,5,200,1,8088,4,3,3,"433",4,2,2,"422"
208,137.5,3,181,1,19154,4,2,3,"423",4,1,5,"415"
209,165.9,3,770,1,22031,1,2,3,"123",1,4,5,"145"
210,368.85,12,172,1,20181,4,4,4,"444",4,4,1,"441"
211,50,2,575,0,20164,1,2,1,"121",1,3,2,"132"
212,25,1,32,0,8721,5,1,1,"511",5,1,1,"511"
213,39.5,1,633,0,8619,1,1,1,"111",1,1,2,"112"
214,34,1,266,0,20110,3,1,1,"311",3,1,2,"312"
215,236,7,284,1,8071,2,4,3,"243",2,4,3,"243"
216,475,8,273,0,8098,3,4,4,"344",3,4,5,"345"
217,39.5,1,294,0,21014,2,1,1,"211",2,1,3,"213"
218,200.95,7,51,1,8088,5,4,3,"543",5,2,4,"524"
219,879.5,13,44,1,8054,5,5,5,"555",5,3,5,"535"
220,142.3,7,34,0,21403,5,4,3,"543",5,2,2,"522"
221,35,1,24,0,21224,5,1,1,"511",5,1,2,"512"
222,83,2,263,0,8106,3,2,2,"322",3,2,3,"323"
223,39.5,2,399,0,21236,2,2,1,"221",2,2,1,"221"
224,45,1,273,0,19067,3,1,1,"311",3,1,3,"313"
225,961.85,20,11,0,21093,5,5,5,"555",5,4,4,"544"
226,679.5,15,293,0,21228,2,5,5,"255",2,5,4,"254"
227,353,11,270,0,21403,3,4,4,"344",3,5,1,"351"
228,82.4,5,604,0,8701,1,3,2,"132",1,5,1,"151"
229,39.5,1,435,0,8755,2,1,1,"211",2,1,3,"213"
230,1377.2,28,235,0,22041,3,5,5,"355",3,5,5,"355"
231,425,14,20,0,19114,5,5,4,"554",5,3,4,"534"
232,117,3,273,0,20171,3,2,2,"322",3,2,4,"324"
233,148.5,3,264,0,21403,3,2,3,"323",3,2,5,"325"
234,271,7,598,0,19149,1,4,4,"144",1,5,4,"154"
235,218.6,11,450,0,22191,2,4,3,"243",2,5,1,"251"
236,520.95,9,9,0,19038,5,4,4,"544",5,3,4,"534"
237,206.5,4,292,0,20854,2,3,3,"233",2,3,5,"235"
238,153,2,898,0,8065,1,2,3,"123",1,3,5,"135"
239,103,3,249,0,20151,3,2,2,"322",3,2,4,"324"
240,1655.95,32,129,0,7728,4,5,5,"455",4,5,4,"454"
241,49,1,238,1,20770,3,1,1,"311",3,1,3,"313"
242,248,2,347,0,8225,2,2,4,"224",2,2,5,"225"
243,1177.6,29,124,1,20912,4,5,5,"455",4,5,3,"453"
244,38,1,800,0,20904,1,1,1,"111",1,1,2,"112"
245,79,2,666,0,22312,1,2,2,"122",1,3,3,"133"
246,92,2,487,0,22015,2,2,2,"222",2,2,4,"224"
247,1505.6,51,23,1,22015,5,5,5,"555",5,5,3,"553"
248,285.9,8,426,0,8204,2,4,4,"244",2,5,1,"251"
249,49,1,858,0,22630,1,1,1,"111",1,1,3,"113"
250,1044.9,30,65,1,22204,4,5,5,"455",4,5,3,"453"
251,294,3,270,1,20895,3,2,4,"324",3,2,5,"325"
252,59,1,321,0,20120,2,1,2,"212",2,1,4,"214"
253,141,4,119,0,20176,4,3,3,"433",4,2,2,"422"
254,35,1,388,0,8075,2,1,1,"211",2,1,2,"212"
255,365.5,6,116,0,20904,4,3,4,"434",4,2,5,"425"
256,1719.45,40,51,0,19002,5,5,5,"555",5,5,4,"554"
257,218.3,9,620,0,20136,1,4,3,"143",1,5,3,"153"
258,241.45,8,437,1,21136,2,4,4,"244",2,5,1,"251"
259,39,1,240,0,22003,3,1,1,"311",3,1,2,"312"
260,78,2,340,0,8108,2,2,2,"222",2,2,3,"223"
261,863.25,18,233,0,19038,3,5,5,"355",3,5,4,"354"
262,0,1,78,1,8055,4,1,1,"411",4,1,1,"411"
263,25,1,633,0,22066,1,1,1,"111",1,1,1,"111"
264,343,7,265,0,8053,3,4,4,"344",3,4,4,"344"
265,239,1,256,0,21093,3,1,4,"314",3,1,5,"315"
266,55,1,167,0,19446,4,1,1,"411",4,1,3,"413"
267,39.5,2,282,1,20854,2,2,1,"221",2,2,1,"221"
268,34.95,1,583,0,21076,1,1,1,"111",1,1,2,"112"
269,257,3,591,0,8691,1,2,4,"124",1,4,5,"145"
270,118,2,696,0,21015,1,2,2,"122",1,3,5,"135"
271,106,3,276,0,22701,3,2,2,"322",3,2,4,"324"
272,156,4,48,1,21158,5,3,3,"533",5,2,3,"523"
273,57,3,34,0,21236,5,2,1,"521",5,1,3,"513"
274,60.95,3,188,0,20147,4,2,2,"422",4,1,3,"413"
275,1356.95,44,191,1,19004,4,5,5,"455",4,5,4,"454"
276,128.9,3,23,0,20171,5,2,3,"523",5,1,5,"515"
277,138,3,273,0,19067,3,2,3,"323",3,2,4,"324"
278,12.95,1,48,0,21114,5,1,1,"511",5,1,1,"511"
279,368.45,8,139,0,23113,4,4,4,"444",4,3,4,"434"
280,609.95,19,45,1,8054,5,5,5,"555",5,4,2,"542"
281,433,10,6,0,8057,5,4,4,"544",5,3,4,"534"
282,409.85,11,289,1,21136,2,4,4,"244",2,5,2,"252"
283,639,10,105,1,22030,4,4,5,"445",4,3,5,"435"
284,2242.9,45,65,1,22314,4,5,5,"455",4,5,5,"455"
285,60,2,633,0,20111,1,2,2,"122",1,3,2,"132"
286,119.95,4,786,0,20905,1,3,2,"132",1,4,4,"144"
287,35,1,27,0,8043,5,1,1,"511",5,1,2,"512"
288,1696.7,40,15,1,21117,5,5,5,"555",5,5,3,"553"
289,12.5,1,694,0,21108,1,1,1,"111",1,1,1,"111"
290,1145.95,40,8,1,21014,5,5,5,"555",5,5,2,"552"
291,650.45,27,73,0,21114,4,5,5,"455",4,5,1,"451"
292,66.5,2,175,0,20878,4,2,2,"422",4,1,3,"413"
293,32,1,768,0,8088,1,1,1,"111",1,1,2,"112"
294,71.2,1,217,0,8055,3,1,2,"312",3,1,5,"315"
295,50,2,521,0,22193,2,2,1,"221",2,2,2,"222"
296,535,15,323,1,19446,2,5,5,"255",2,5,3,"253"
297,39.5,1,756,0,19002,1,1,1,"111",1,1,2,"112"
298,213.35,9,63,0,20817,5,4,3,"543",5,3,1,"531"
299,369.9,14,47,0,8053,5,5,4,"554",5,3,3,"533"
300,2502.3,51,84,0,20171,4,5,5,"455",4,5,5,"455"
301,65,1,766,0,21012,1,1,2,"112",1,1,4,"114"
302,597.45,10,549,0,8035,2,4,5,"245",2,5,4,"254"
303,20,1,263,0,20755,3,1,1,"311",3,1,1,"311"
304,54,1,268,0,20008,3,1,1,"311",3,1,4,"314"
305,113.95,3,300,0,21701,2,2,2,"222",2,3,3,"233"
306,314.35,10,286,1,22039,2,4,4,"244",2,5,2,"252"
307,48,3,262,0,20170,3,2,1,"321",3,2,1,"321"
308,34.95,1,346,0,8322,2,1,1,"211",2,1,2,"212"
309,29,1,142,0,8090,4,1,1,"411",4,1,1,"411"
310,40,2,435,1,20007,2,2,1,"221",2,2,2,"222"
311,780.15,19,47,0,19067,5,5,5,"555",5,4,3,"543"
312,248.35,10,103,0,22405,4,4,4,"444",4,3,2,"432"
313,109,3,788,0,21212,1,2,2,"122",1,4,3,"143"
314,69,1,646,0,18940,1,1,2,"112",1,1,4,"114"
315,157,2,568,0,8759,2,2,3,"223",2,2,5,"225"
316,75,2,826,0,20832,1,2,2,"122",1,3,3,"133"
317,64,2,208,0,21048,3,2,2,"322",3,2,2,"322"
318,681,15,109,1,21113,4,5,5,"455",4,4,4,"444"
319,1144.95,10,69,1,19083,4,4,5,"445",4,3,5,"435"
320,35,1,707,0,20148,1,1,1,"111",1,1,2,"112"
321,315.9,6,5,1,8060,5,3,4,"534",5,2,5,"525"
322,78,2,277,0,8619,3,2,2,"322",3,2,3,"323"
323,89,1,558,0,8215,2,1,2,"212",2,1,5,"215"
324,187.5,3,258,0,18966,3,2,3,"323",3,2,5,"325"
325,30,2,29,0,21208,5,2,1,"521",5,1,1,"511"
326,133,4,368,0,8648,2,3,3,"233",2,3,3,"233"
327,1388.95,29,19,1,8003,5,5,5,"555",5,5,3,"553"
328,90,1,208,1,20874,3,1,2,"312",3,1,5,"315"
329,44,2,906,0,8210,1,2,1,"121",1,3,1,"131"
330,116.5,3,320,0,20882,2,2,2,"222",2,3,3,"233"
331,130.5,3,658,0,23233,1,2,3,"123",1,4,4,"144"
332,2002.95,42,72,1,21122,4,5,5,"455",4,5,5,"455"
333,26.5,1,661,0,20910,1,1,1,"111",1,1,1,"111"
334,87,3,265,0,22015,3,2,2,"322",3,2,3,"323"
335,2223.45,43,14,1,21212,5,5,5,"555",5,5,4,"554"
336,96.5,3,282,0,8540,2,2,2,"222",2,3,2,"232"
337,125.2,4,530,0,20191,2,3,3,"233",2,3,3,"233"
338,1962.3,35,61,1,20814,5,5,5,"555",5,5,4,"554"
339,105.9,4,139,1,19002,4,3,2,"432",4,2,2,"422"
340,129.75,5,655,0,22153,1,3,3,"133",1,5,1,"151"
341,139,2,686,1,18901,1,2,3,"123",1,3,5,"135"
342,115.3,5,431,0,20850,2,3,2,"232",2,4,1,"241"
343,697.45,14,244,0,19083,3,5,5,"355",3,5,3,"353"
344,107,3,266,0,20007,3,2,2,"322",3,2,4,"324"
345,45,1,275,1,22182,3,1,1,"311",3,1,3,"313"
346,553.4,10,15,0,20112,5,4,5,"545",5,3,5,"535"
347,54,2,764,0,8109,1,2,1,"121",1,3,2,"132"
348,268,4,329,1,21774,2,3,4,"234",2,3,5,"235"
349,282.5,5,265,0,21015,3,3,4,"334",3,3,5,"335"
350,667.24,18,90,0,22901,4,5,5,"455",4,4,4,"444"
351,721.15,15,100,0,23185,4,5,5,"455",4,4,4,"444"
352,373.95,6,393,0,19130,2,3,4,"234",2,4,5,"245"
353,857.9,27,364,1,21136,2,5,5,"255",2,5,5,"255"
354,215.9,11,14,0,19067,5,4,3,"543",5,3,1,"531"
355,281.5,6,37,0,23113,5,3,4,"534",5,2,5,"525"
356,2876.94,32,8,0,20818,5,5,5,"555",5,5,5,"555"
357,488,6,260,1,22203,3,3,4,"334",3,4,5,"345"
358,149.3,5,248,0,8550,3,3,3,"333",3,3,3,"333"
359,79,3,389,0,21117,2,2,2,"222",2,3,1,"231"
360,42,2,460,0,20194,2,2,1,"221",2,2,2,"222"
361,211.45,5,386,0,22601,2,3,3,"233",2,4,3,"243"
362,810.9,16,262,1,19038,3,5,5,"355",3,5,4,"354"
363,39.95,2,632,0,21014,1,2,1,"121",1,3,1,"131"
364,1087.15,20,10,1,20723,5,5,5,"555",5,4,5,"545"
365,57.95,4,33,0,18901,5,3,1,"531",5,2,1,"521"
366,74,1,601,0,21236,1,1,2,"112",1,1,4,"114"
367,166.5,5,263,0,19002,3,3,3,"333",3,3,3,"333"
368,622.8,17,258,0,18901,3,5,5,"355",3,5,3,"353"
369,59,1,287,0,19115,2,1,2,"212",2,1,4,"214"
370,208.5,6,289,0,20817,2,3,3,"233",2,4,3,"243"
371,626,6,599,1,8108,1,3,5,"135",1,5,5,"155"
372,106,3,144,0,8002,4,2,2,"422",4,1,4,"414"
373,105.5,3,82,1,20175,4,2,2,"422",4,1,4,"414"
374,2272.35,48,150,0,22124,4,5,5,"455",4,5,5,"455"
375,568.5,11,209,0,8221,3,4,5,"345",3,5,3,"353"
376,917.5,10,29,0,22152,5,4,5,"545",5,3,5,"535"
377,208,5,241,0,20187,3,3,3,"333",3,3,4,"334"
378,5183.45,98,84,1,19067,4,5,5,"455",4,5,5,"455"
379,39,1,634,0,19087,1,1,1,"111",1,1,2,"112"
380,69,1,304,0,20170,2,1,2,"212",2,1,4,"214"
381,52,2,652,0,19147,1,2,1,"121",1,3,2,"132"
382,101,4,286,0,21234,2,3,2,"232",2,3,2,"232"
383,119.25,6,282,0,21228,2,3,2,"232",2,4,1,"241"
384,227.9,7,287,0,21048,2,4,3,"243",2,4,3,"243"
385,1155.7,39,52,0,8005,5,5,5,"555",5,5,2,"552"
386,27.5,2,322,0,8054,2,2,1,"221",2,2,1,"221"
387,39.5,1,263,1,8302,3,1,1,"311",3,1,3,"313"
388,395,9,226,0,21117,3,4,4,"344",3,4,5,"345"
389,152,5,504,0,7728,2,3,3,"233",2,4,1,"241"
390,49.5,1,285,0,20854,2,1,1,"211",2,1,4,"214"
391,1045,16,5,1,20854,5,5,5,"555",5,4,5,"545"
392,174.5,6,263,0,22030,3,3,3,"333",3,4,1,"341"
393,91,2,385,0,21014,2,2,2,"222",2,2,4,"224"
394,159.35,6,38,0,22153,5,3,3,"533",5,2,3,"523"
395,347,8,373,0,20902,2,4,4,"244",2,5,2,"252"
396,500.45,12,180,1,20194,4,4,4,"444",4,4,2,"442"
397,98.95,2,636,0,23229,1,2,2,"122",1,3,4,"134"
398,39.5,2,364,0,19002,2,2,1,"221",2,2,1,"221"
399,69,1,959,0,8054,1,1,2,"112",1,1,4,"114"
400,39.5,1,939,0,19002,1,1,1,"111",1,1,2,"112"
401,59,1,75,1,8054,4,1,2,"412",4,1,3,"413"
402,35,1,405,0,8648,2,1,1,"211",2,1,2,"212"
403,118,3,270,0,20155,3,2,2,"322",3,2,4,"324"
404,176,5,24,0,8036,5,3,3,"533",5,2,3,"523"
405,409,10,27,0,22310,5,4,4,"544",5,3,4,"534"
406,520.35,18,227,0,22901,3,5,4,"354",3,5,2,"352"
407,49,1,968,0,19027,1,1,1,"111",1,1,3,"113"
408,448.95,11,101,0,20015,4,4,4,"444",4,4,2,"442"
409,50.85,2,396,0,22193,2,2,1,"221",2,2,2,"222"
410,238,3,302,0,21136,2,2,3,"223",2,3,5,"235"
411,39.95,1,661,0,21209,1,1,1,"111",1,1,3,"113"
412,19.5,1,693,0,19038,1,1,1,"111",1,1,1,"111"
413,177,5,297,0,19027,2,3,3,"233",2,4,2,"242"
414,470.7,19,301,0,19046,2,5,4,"254",2,5,3,"253"
415,1056.5,24,74,0,20853,4,5,5,"455",4,5,3,"453"
