"day","date","quantity","price","revenue","digital_ad","digital_search","print","tv","ln_quantity","ln_price","ln_digital_ad","ln_digital_search","ln_print","ln_tv","lln_quantity","weekdays","ln_digital","pred_quantity"
11,"2018-01-11",103,350.95,36147.85,1027,1327,967,7404,4.63472898822964,5.86064376317643,6.93439720992856,7.19067603433221,6.87523208727658,8.90977567369339,4.53259949315326,"Thursday",7.76387128782022,88.2406606961456
12,"2018-01-12",92,353.74,32544.08,1019,1206,967,6091,4.52178857704904,5.86856218000665,6.92657703322272,7.09506437728713,6.87523208727658,8.71456755083648,4.63472898822964,"Friday",7.70751219460034,93.0888468929137
13,"2018-01-13",86,316.19,27192.34,1221,1084,967,7821,4.45434729625351,5.75634329872183,7.1074254741107,6.98841318199959,6.87523208727658,8.96456770260161,4.52178857704904,"Saturday",7.74283595543075,103.660925855285
14,"2018-01-14",75,313.49,23511.75,1247,1068,967,9729,4.31748811353631,5.74776746163759,7.12849594568004,6.97354301952014,6.87523208727658,9.18286639497543,4.45434729625351,"Sunday",7.74716496652033,71.6962900826151
15,"2018-01-15",77,301.4,23207.8,1264,1190,967,10146,4.34380542185368,5.7084382861924,7.1420365747068,7.08170858610557,6.87523208727658,9.22483481812663,4.31748811353631,"Monday",7.80547462527086,91.3528546858519
16,"2018-01-16",95,290.88,27633.6,1430,1246,967,3834,4.55387689160054,5.67291081098911,7.26542972325395,7.1276936993474,6.87523208727658,8.25166392360559,4.34380542185368,"Tuesday",7.89207842124812,105.420685585518
17,"2018-01-17",94,286.83,26962.02,1605,1307,967,7726,4.54329478227,5.65888970576546,7.38087903556412,7.17548971362422,6.87523208727658,8.95234654322623,4.55387689160054,"Wednesday",7.97659540931658,100.810717213301
18,"2018-01-18",82,301.42,24716.44,1698,1342,967,8391,4.40671924726425,5.70850464099153,7.43720636687129,7.20191631753163,6.87523208727658,9.03491498187007,4.54329478227,"Thursday",8.01961279440027,99.7405908776868
19,"2018-01-19",87,290.35,25260.45,1347,1255,967,9847,4.46590811865458,5.67108709181806,7.20563517641036,7.13489085156588,6.87523208727658,9.1949221192478,4.40671924726425,"Friday",7.86403565907245,91.5175886465505
20,"2018-01-20",90,298.96,26906.4,914,1131,967,15740,4.49980967033027,5.70030978517723,6.81783057145415,7.03085747611612,6.87523208727658,9.66396052197139,4.46590811865458,"Saturday",7.6231530684769,104.931162547006
21,"2018-01-21",79,305.79,24157.41,993,1175,967,11258,4.36944785246702,5.72289859184843,6.90073066404517,7.06902342657826,6.87523208727658,9.32883426602397,4.49980967033027,"Sunday",7.68156036255954,75.1726304295131
22,"2018-01-22",77,294.01,22638.77,997,1222,967,12686,4.34380542185368,5.68361378036567,6.90475076996184,7.10824413973154,6.87523208727658,9.44825430219384,4.36944785246702,"Monday",7.70481192293259,96.259227042619
23,"2018-01-23",99,291.26,28834.74,1007,1321,967,9689,4.59511985013459,5.67421633905443,6.91473089271856,7.18614430452233,6.87523208727658,9.178746500385,4.34380542185368,"Tuesday",7.75276480885133,108.515527837815
24,"2018-01-24",89,303.53,27014.17,987,1155,967,12924,4.48863636973214,5.71548045240201,6.89467003943348,7.05185562295589,6.87523208727658,9.46684132694439,4.59511985013459,"Wednesday",7.66949525100769,100.122928896043
25,"2018-01-25",91,302.03,27484.73,1031,1134,967,8809,4.51085950651685,5.71052635018955,6.93828448401696,7.0335064842877,6.87523208727658,9.0835292051098,4.48863636973214,"Thursday",7.68017564043659,93.0197592309257
26,"2018-01-26",92,300.47,27643.24,1100,1141,967,12152,4.52178857704904,5.70534791538091,7.00306545878646,7.03966034986208,6.87523208727658,9.40524904427561,4.51085950651685,"Friday",7.71467747380093,96.370771929796
27,"2018-01-27",88,310.55,27328.4,980,1037,967,10882,4.47733681447821,5.73834491900531,6.88755257166462,6.94408720822953,6.87523208727658,9.29486532704587,4.52178857704904,"Saturday",7.60936653795421,105.006503364888
28,"2018-01-28",78,306.68,23921.04,1012,1016,967,14194,4.35670882668959,5.72580485869069,6.91968384984741,6.92362862813843,6.87523208727658,9.56057461908493,4.47733681447821,"Sunday",7.61480536471107,74.1739494343793
29,"2018-01-29",91,301.95,27477.45,977,1203,967,14814,4.51085950651685,5.71026144075391,6.88448665204278,7.09257371597468,6.87523208727658,9.60332795857324,4.35670882668959,"Monday",7.68708015578313,94.4802936230017
30,"2018-01-30",102,303.88,30995.76,969,1282,967,11026,4.62497281328427,5.71663288663502,6.87626461189077,7.15617663748062,6.87523208727658,9.30801139914963,4.51085950651685,"Tuesday",7.71912984090673,119.862496714028
31,"2018-01-31",97,307.75,29851.75,958,1197,967,9863,4.57471097850338,5.72928776506456,6.86484777797086,7.08757370555797,6.87523208727658,9.19654566095399,4.62497281328427,"Wednesday",7.67554600253785,100.315557309276
32,"2018-02-01",87,318.52,27711.24,817,1189,843,8072,4.46590811865458,5.76368526738924,6.70563909486,7.08086789669078,6.73815249459596,8.99615656203344,4.57471097850338,"Thursday",7.60389796852188,94.6162151391073
33,"2018-02-02",88,317.34,27925.92,803,1136,843,10015,4.47733681447821,5.75997375430594,6.68835471394676,7.0352685992811,6.73815249459596,9.21183924809992,4.46590811865458,"Friday",7.56992765524265,88.1223788925995
34,"2018-02-03",132,337.3,44523.6,1709,1009,843,11220,4.88280192258637,5.8209727420676,7.44366368311559,6.91671502035361,6.73815249459596,9.32545317907669,4.47733681447821,"Saturday",7.90765159471109,99.5382777297172
35,"2018-02-04",119,346.89,41279.91,1782,1034,843,14893,4.77912349311153,5.84900772680898,7.48549160803075,6.94119005506837,6.73815249459596,9.60864658288587,4.88280192258637,"Sunday",7.94307271727793,95.4013043913201
36,"2018-02-05",100,346.27,34627,1809,1005,843,5870,4.60517018598809,5.84721881756626,7.50052948539529,6.91274282049318,6.73815249459596,8.67760991282214,4.77912349311153,"Monday",7.94236223767433,115.941637391175
37,"2018-02-06",191,343.65,65637.15,1840,1166,843,9711,5.25227342804663,5.83962369756761,7.51752085060303,7.06133436691044,6.73815249459596,9.18101454259435,4.60517018598809,"Tuesday",8.00836557031292,121.775425622953
38,"2018-02-07",155,345.63,53572.65,2351,1151,843,10053,5.04342511691925,5.84536883871807,7.76259604854007,7.04838640872188,6.73815249459596,9.21562637640542,5.25227342804663,"Wednesday",8.1610895128458,154.031567222899
39,"2018-02-08",149,342.13,50977.37,2371,1166,843,7117,5.00394630594546,5.83519078179552,7.77106708606541,7.06133436691044,6.73815249459596,8.87024156729927,5.04342511691925,"Thursday",8.17103418920548,133.537380697049
40,"2018-02-09",141,334.51,47165.91,2029,1107,843,7999,4.94875989037817,5.81266677448764,7.61529833982581,7.00940893270864,6.73815249459596,8.98707181284882,5.00394630594546,"Friday",8.0507033814703,130.485770186525
41,"2018-02-10",185,342.68,63395.8,2066,956,843,9523,5.22035582507832,5.83679706709584,7.63336964967958,6.8627579130514,6.73815249459596,9.16146520419405,4.94875989037817,"Saturday",8.01367414283268,138.906680858181
42,"2018-02-11",138,337.7,46602.6,1994,955,843,13984,4.92725368515721,5.82215792739152,7.59789795052178,6.86171134048073,6.73815249459596,9.54566909789532,5.22035582507832,"Sunday",7.98922140881528,123.702240285295
43,"2018-02-12",193,342.29,66061.97,2044,1066,843,11747,5.26269018890489,5.83565833096976,7.6226639513236,6.97166860472579,6.73815249459596,9.37135316782389,4.92725368515721,"Monday",8.04237800517328,135.299007864304
44,"2018-02-13",299,352.74,105469.26,1741,1047,843,6333,5.70044357339069,5.86573124164222,7.46221493976819,6.95368421087054,6.73815249459596,8.75352933651643,5.26269018890489,"Tuesday",7.93307977188041,187.714292761289
45,"2018-02-14",283,354.17,100230.11,1682,975,843,10160,5.64544689764324,5.86977702385088,7.42773884053289,6.88243747099785,6.73815249459596,9.22621372113247,5.70044357339069,"Wednesday",7.88495294575981,204.678646808054
46,"2018-02-15",301,354.24,106626.24,1609,1058,843,9777,5.70711026474888,5.86997464952027,7.38336814699238,6.96413561241824,6.73815249459596,9.18778796750567,5.64544689764324,"Thursday",7.88870952418201,199.792285880023
47,"2018-02-16",143,318.23,45506.89,728,1190,843,10663,4.96284463025991,5.76277439178641,6.59030104819669,7.08170858610557,6.73815249459596,9.27453508401818,5.70711026474888,"Friday",7.55903825544338,215.679406482478
48,"2018-02-17",94,286.53,26933.82,582,996,843,6576,4.54329478227,5.65784324271476,6.36647044773144,6.9037472575846,6.73815249459596,8.79118193673602,4.96284463025991,"Saturday",7.36391350140582,143.613327716596
49,"2018-02-18",90,281.63,25346.7,578,946,843,6853,4.49980967033027,5.64059415270044,6.35957386867238,6.85224256905188,6.73815249459596,8.83244179158582,4.54329478227,"Sunday",7.32909373624659,76.5324035456209
50,"2018-02-19",100,257.9,25790,589,1170,843,9600,4.60517018598809,5.5525719128873,6.37842618365159,7.0647590277918,6.73815249459596,9.16951837745593,4.49980967033027,"Monday",7.47250074473756,109.516183161383
51,"2018-02-20",117,263.59,30840.03,640,1225,843,6538,4.76217393479776,5.57439486564168,6.46146817635372,7.11069612297883,6.73815249459596,8.78538658728416,4.60517018598809,"Tuesday",7.53101633207792,132.76222794596
52,"2018-02-21",86,263.84,22690.24,621,1233,843,8606,4.45434729625351,5.57534285881129,6.43133108193348,7.11720550316434,6.73815249459596,9.06021491339854,4.76217393479776,"Wednesday",7.5251007461258,117.831277001068
53,"2018-02-22",93,281.89,26215.77,598,1163,843,6374,4.53259949315326,5.64151692391868,6.39359075395063,7.05875815251866,6.73815249459596,8.75998249497728,4.45434729625351,"Thursday",7.47363710849621,90.8015202022982
54,"2018-02-23",95,280.18,26617.1,859,1253,843,8779,4.55387689160054,5.63543225376797,6.75576892198425,7.13329595489607,6.73815249459596,9.08011778492621,4.53259949315326,"Friday",7.65539064482615,99.3391362570791
55,"2018-02-24",85,265.51,22568.35,902,1209,843,8603,4.44265125649032,5.58165250475612,6.80461452006262,7.09754885061479,6.73815249459596,9.05986625862135,4.55387689160054,"Saturday",7.65491704784832,116.088647131062
56,"2018-02-25",85,281.36,23915.6,909,1103,843,8812,4.44265125649032,5.63963498816573,6.81234509417748,7.0057890192535,6.73815249459596,9.08386970792223,4.44265125649032,"Sunday",7.60688453121963,73.9205245251691
57,"2018-02-26",88,258.46,22744.48,911,1213,843,6290,4.47733681447821,5.55474094309705,6.81454289725996,7.10085190894405,6.73815249459596,8.74671634969449,4.44265125649032,"Monday",7.66105638236183,104.763674444232
58,"2018-02-27",104,244.21,25397.84,942,1279,843,5498,4.64439089914137,5.49802851087912,6.84800527457636,7.15383380157884,6.73815249459596,8.61213966872519,4.47733681447821,"Tuesday",7.70571282389443,127.418819703472
59,"2018-02-28",96,246.68,23681.28,972,1253,843,7020,4.56434819146784,5.50809195012329,6.87935580446044,7.13329595489607,6.73815249459596,8.85651849701986,4.64439089914137,"Wednesday",7.70751219460034,113.252692553244
60,"2018-03-01",98,269.89,26449.22,943,1244,843,5498,4.58496747867057,5.59801446857802,6.84906628263346,7.12608727329912,6.73815249459596,8.61213966872519,4.56434819146784,"Thursday",7.69028602067677,102.070737216573
61,"2018-03-02",100,272.35,27235,671,1153,939,6919,4.60517018598809,5.60708800382968,6.50876913697168,7.05012252026906,6.84587987526405,8.84202652949881,4.58496747867057,"Friday",7.50878717063428,102.608092927462
62,"2018-03-03",84,336.72,28284.48,743,1044,939,7762,4.43081679884331,5.81925172446232,6.61069604471776,6.95081476844258,6.84587987526405,8.95699531192885,4.60517018598809,"Saturday",7.48829351515943,103.660600535847
63,"2018-03-04",72,351.48,25306.56,1092,1009,939,9639,4.27666611901606,5.86215281062764,6.99576615630485,6.91671502035361,6.84587987526405,9.17357264778397,4.43081679884331,"Sunday",7.650168700845,65.4317690976555
64,"2018-03-05",78,344.41,26863.98,997,1147,939,7814,4.35670882668959,5.84183280813668,6.90475076996184,7.04490511712937,6.84587987526405,8.96367227561502,4.27666611901606,"Monday",7.67042852219069,80.2443077766266
65,"2018-03-06",88,338.72,29807.36,1052,1230,939,4022,4.47733681447821,5.82517380738656,6.95844839329766,7.11476944836646,6.84587987526405,8.2995345703326,4.35670882668959,"Tuesday",7.73280753042202,96.3895736049891
66,"2018-03-07",80,340.67,27253.6,1108,1154,939,4566,4.38202663467388,5.83091426678348,7.01031186730723,7.05098944706805,6.84587987526405,8.42639282708974,4.47733681447821,"Wednesday",7.72400465667607,82.5263310654117
67,"2018-03-08",80,341.3,27304,1082,1083,939,4594,4.38202663467388,5.83276185591266,6.98656645940643,6.98749024700099,6.84587987526405,8.43250638324904,4.38202663467388,"Thursday",7.68017564043659,77.9917454034267
68,"2018-03-09",79,344.87,27244.73,785,1043,939,5445,4.36944785246702,5.84316753442583,6.66568371778241,6.94985645500077,6.84587987526405,8.60245303536706,4.38202663467388,"Friday",7.5109777520141,76.8137263368101
69,"2018-03-10",88,346.06,30453.28,430,912,939,6502,4.47733681447821,5.8466121704285,6.06378520868761,6.81563999007433,6.84587987526405,8.77986510086385,4.36944785246702,"Saturday",7.20191631753163,83.1935350277642
70,"2018-03-11",94,356.5,33511,373,857,939,5754,4.54329478227,5.87633423985435,5.92157841964382,6.75343791859778,6.84587987526405,8.65765054411149,4.47733681447821,"Sunday",7.11476944836646,62.3819868167705
71,"2018-03-12",90,349.56,31460.4,388,893,939,6808,4.49980967033027,5.85667522075934,5.96100533962327,6.7945865808765,6.84587987526405,8.82585367025321,4.54329478227,"Monday",7.15539630189673,91.3683981454195
72,"2018-03-13",189,361.83,68385.87,361,1029,939,8741,5.24174701505964,5.89117448826326,5.88887795833288,6.93634273583405,6.84587987526405,9.07577987858049,4.49980967033027,"Tuesday",7.23705902612474,101.925276392813
73,"2018-03-14",136,362.52,49302.72,302,955,939,4442,4.91265488573605,5.89307964518658,5.71042701737487,6.86171134048073,6.84587987526405,8.39886000445437,5.24174701505964,"Wednesday",7.13648320859025,130.789056210621
74,"2018-03-15",113,358.63,40525.19,264,916,939,4771,4.72738781871234,5.88229121634446,5.57594910314632,6.82001636467413,6.84587987526405,8.47031120551611,4.91265488573605,"Thursday",7.07326971745971,105.302132131268
75,"2018-03-16",153,363.85,55669.05,641,921,939,5330,5.03043792139244,5.8967416947931,6.46302945692067,6.82546003625531,6.84587987526405,8.58110651715989,4.72738781871234,"Friday",7.35372233039963,94.136153195276
76,"2018-03-17",127,363,46101,649,848,939,5906,4.84418708645859,5.89440283426485,6.47543271670409,6.7428806357919,6.84587987526405,8.68372406230387,5.03043792139244,"Saturday",7.31121838441963,131.180416982153
77,"2018-03-18",104,364.31,37888.24,876,758,939,5084,4.64439089914137,5.8980051535417,6.77536609093639,6.63068338564237,6.84587987526405,8.53385363230935,4.84418708645859,"Sunday",7.39878627541995,81.9584723806786
78,"2018-03-19",112,356.9,39972.8,929,860,939,5117,4.71849887129509,5.87745563049611,6.83410873881384,6.75693238924755,6.84587987526405,8.54032360880509,4.64439089914137,"Monday",7.48941208350872,98.8854585355495
79,"2018-03-20",125,356.17,44521.25,904,970,939,7091,4.8283137373023,5.87540814496166,6.80682936039218,6.87729607149743,6.84587987526405,8.866581653304,4.71849887129509,"Tuesday",7.53583046279837,122.586312694991
80,"2018-03-21",153,363.91,55678.23,871,959,939,4458,5.03043792139244,5.89690658431749,6.7696419768525,6.86589107488344,6.84587987526405,8.40245551394581,4.8283137373023,"Wednesday",7.51207124583547,100.320696551495
81,"2018-03-22",115,362.9,41733.5,832,891,939,5533,4.74493212836325,5.89412731421902,6.72383244082121,6.79234442747081,6.84587987526405,8.61848544289811,5.03043792139244,"Thursday",7.45182223652793,118.746261042006
82,"2018-03-23",104,357.76,37207.04,835,869,939,5857,4.64439089914137,5.87986237052668,6.72743172485086,6.76734312526539,6.84587987526405,8.67539280608978,4.74493212836325,"Friday",7.44073370738926,97.4415269575023
83,"2018-03-24",160,368.66,58985.6,1130,1048,939,5422,5.07517381523383,5.90987481006803,7.02997291170639,6.95463886488099,6.84587987526405,8.59822003005861,4.64439089914137,"Saturday",7.68616230349291,101.536458098104
84,"2018-03-25",103,366.14,37712.42,962,1020,939,6087,4.63472898822964,5.90301577392287,6.86901445066571,6.92755790627832,6.84587987526405,8.71391062849392,5.07517381523383,"Sunday",7.59186171488993,99.0950600004761
85,"2018-03-26",105,359.97,37796.85,1324,1265,939,5123,4.65396035015752,5.88602069464441,7.18841273649695,7.14282740116162,6.84587987526405,8.5414954839392,4.63472898822964,"Monday",7.85902697975154,101.139365987583
86,"2018-03-27",127,358.05,45472.35,856,1408,939,3933,4.84418708645859,5.88067264145295,6.75227037614174,7.24992553671799,6.84587987526405,8.27715777243181,4.65396035015752,"Tuesday",7.72488843932307,115.559742755563
87,"2018-03-28",143,364.82,52169.26,837,1351,939,7002,4.96284463025991,5.89940408125877,6.72982407048948,7.2086003379602,6.84587987526405,8.85395110151461,4.84418708645859,"Wednesday",7.69074316354187,105.183608321124
88,"2018-03-29",154,370.39,57040.06,907,1306,939,6300,5.03695260241363,5.9145565045674,6.81014245011514,7.17472430983638,6.84587987526405,8.74830491237962,4.96284463025991,"Thursday",7.70210434005105,115.118031008958
89,"2018-03-30",125,365.64,45705,977,1197,939,8063,4.8283137373023,5.90164924278562,6.88448665204278,7.08757370555797,6.84587987526405,8.99504097468502,5.03695260241363,"Friday",7.68432406768116,123.322019379678
90,"2018-03-31",214,376.63,80598.82,939,1160,939,7039,5.36597601502185,5.93126327316719,6.84481547920826,7.05617528410041,6.84587987526405,8.85922139360813,4.8283137373023,"Saturday",7.64921631982063,115.534597726593
91,"2018-04-01",229,377.78,86511.62,1004,1136,939,11995,5.43372200355424,5.93431201560367,6.91174730025167,7.0352685992811,6.84587987526405,9.39224517527379,5.36597601502185,"Sunday",7.6685611080159,124.763515808952
92,"2018-04-02",104,367.78,38249.12,592,983,440,5949,4.64439089914137,5.90748493331271,6.38350663488401,6.89060912014717,6.08904487544685,8.6909784171879,5.43372200355424,"Monday",7.36201055125973,167.075028065616
93,"2018-04-03",86,363.49,31260.14,439,1063,440,4503,4.45434729625351,5.89575178627879,6.08449941307517,6.96885037834195,6.08904487544685,8.41249912030157,4.64439089914137,"Tuesday",7.31455283232408,107.750013890949
94,"2018-04-04",72,359.17,25860.24,448,1161,440,3792,4.27666611901606,5.88379581400919,6.10479323241498,7.05703698169789,6.08904487544685,8.24064886337491,4.45434729625351,"Wednesday",7.38336814699238,73.9933935769166
95,"2018-04-05",64,364.25,23312,772,1224,440,3780,4.15888308335967,5.89784044507531,6.64898455002478,7.10987946307227,6.08904487544685,8.23747928861363,4.27666611901606,"Thursday",7.59890045687141,67.0104351290563
96,"2018-04-06",63,358.06,22557.78,605,1233,440,5661,4.14313472639153,5.88070057012313,6.40522845803084,7.11720550316434,6.08904487544685,8.64135583403666,4.15888308335967,"Friday",7.51643330291563,62.737166719442
97,"2018-04-07",58,348.81,20230.98,448,1030,440,4452,4.06044301054642,5.85452736134863,6.10479323241498,6.93731408122368,6.08904487544685,8.40110871239544,4.14313472639153,"Saturday",7.29844510150815,68.1921196603772
98,"2018-04-08",45,362.17,16297.65,413,945,440,6799,3.80666248977032,5.89211371485164,6.02344759296103,6.85118492749374,6.08904487544685,8.82453082152646,4.06044301054642,"Sunday",7.21376830811864,45.5096726669896
99,"2018-04-09",40,363.54,14541.6,404,1079,440,5067,3.68887945411394,5.89588933218495,6.00141487796115,6.98378996525813,6.08904487544685,8.53050420547591,3.80666248977032,"Monday",7.30182234213793,51.3709477735954
100,"2018-04-10",71,340.91,24204.61,512,1373,440,5193,4.26267987704132,5.8316185128292,6.23832462503951,7.22475340576797,6.08904487544685,8.55506684384432,3.68887945411394,"Tuesday",7.54168309988211,57.6604449555621
101,"2018-04-11",58,338.48,19631.84,589,1434,440,4623,4.06044301054642,5.82446500641181,6.37842618365159,7.26822302115957,6.08904487544685,8.43879912398823,4.26267987704132,"Wednesday",7.61233683716775,68.6765738943048
102,"2018-04-12",60,348.91,20934.6,618,1387,440,4177,4.0943445622221,5.85481400928959,6.42648845745769,7.23489842031483,6.08904487544685,8.33734856449717,4.06044301054642,"Thursday",7.60339933974067,59.0341642953415
103,"2018-04-13",55,346.67,19066.85,538,1305,440,3413,4.00733318523247,5.8483733188057,6.28785856016178,7.17395831975679,6.08904487544685,8.13534694890671,4.0943445622221,"Friday",7.51914995766982,59.5952973470435
104,"2018-04-14",56,345.51,19348.56,490,1186,440,3784,4.02535169073515,5.84502158634893,6.19440539110467,7.07834157955767,6.08904487544685,8.23853693017177,4.00733318523247,"Saturday",7.42416528104203,62.4239169511675
105,"2018-04-15",46,354.22,16294.12,515,1089,440,5271,3.8286413964891,5.86991818902849,6.24416690066374,6.99301512293296,6.08904487544685,8.56997537685521,4.02535169073515,"Sunday",7.38025578842646,45.0970762448448
106,"2018-04-16",52,346.31,18008.12,615,1245,440,5073,3.95124371858143,5.84733432768796,6.42162226780652,7.12689080889881,6.08904487544685,8.53168763756669,3.8286413964891,"Monday",7.52833176670725,54.7732137523329
107,"2018-04-17",61,352.47,21500.67,1180,1442,440,6599,4.11087386417331,5.86496551224759,7.07326971745971,7.27378631784489,6.08904487544685,8.79467340138342,3.95124371858143,"Tuesday",7.87169266432365,71.2779366522684
108,"2018-04-18",61,354.23,21608.03,1628,1314,440,4213,4.11087386417331,5.86994641967285,7.39510754656249,7.18083119904456,6.08904487544685,8.34593026197902,4.11087386417331,"Wednesday",7.98684490116138,61.8616590887369
109,"2018-04-19",64,354.15,22665.6,908,1309,440,3322,4.15888308335967,5.86972055219963,6.81124437860129,7.1770187659099,6.08904487544685,8.10832229017324,4.11087386417331,"Thursday",7.70391020961631,60.6370066058197
110,"2018-04-20",63,343.27,21626.01,774,1541,440,5043,4.14313472639153,5.83851730952021,6.65157187358973,7.34018683532012,6.08904487544685,8.52575642207673,4.15888308335967,"Friday",7.74716496652033,65.2803884008915
111,"2018-04-21",57,344.4,19630.8,786,1354,440,3426,4.04305126783455,5.84180377255358,6.66695679242921,7.21081845347222,6.08904487544685,8.13914867888407,4.14313472639153,"Saturday",7.6685611080159,70.2272006033003
112,"2018-04-22",50,360.94,18047,740,1263,440,3461,3.91202300542815,5.88871173953315,6.60665018619822,7.14124512235049,6.08904487544685,8.14931284363534,4.04305126783455,"Sunday",7.60240133566582,45.2544718311288
113,"2018-04-23",57,353.03,20122.71,790,1418,440,4192,4.04305126783455,5.8665530391579,6.67203294546107,7.25700270709207,6.08904487544685,8.34093322600088,3.91202300542815,"Monday",7.69984240739699,57.954749800783
114,"2018-04-24",61,343.73,20967.53,774,1680,440,3702,4.11087386417331,5.83985646546997,6.65157187358973,7.4265490723973,6.08904487544685,8.21662849313344,4.04305126783455,"Tuesday",7.80547462527086,74.7516590959933
115,"2018-04-25",59,340.87,20111.33,1063,1605,440,3359,4.07753744390572,5.83150117292469,6.96885037834195,7.38087903556412,6.08904487544685,8.11939858961229,4.11087386417331,"Wednesday",7.88908440703551,61.9919240428864
116,"2018-04-26",61,350.6,21386.6,924,1583,440,3276,4.11087386417331,5.85964597248713,6.82871207164168,7.36707705988101,6.08904487544685,8.09437844497296,4.07753744390572,"Thursday",7.82684209815829,60.1762234901124
117,"2018-04-27",59,342.66,20216.94,830,1543,440,5051,4.07753744390572,5.83673870190483,6.72142570079064,7.34148385236316,6.08904487544685,8.52734152246805,4.11087386417331,"Friday",7.77191025643576,63.2722086539482
118,"2018-04-28",54,345.11,18635.94,817,1405,440,4578,3.98898404656427,5.84386320679221,6.70563909486,7.24779258176785,6.08904487544685,8.42901750051251,4.07753744390572,"Saturday",7.70616297019958,68.039566685733
119,"2018-04-29",44,359.57,15821.08,803,1384,440,3506,3.78418963391826,5.8849088730884,6.68835471394676,7.23273313617761,6.08904487544685,8.16223106548118,3.98898404656427,"Sunday",7.69028602067677,44.0002920565762
120,"2018-04-30",48,362.69,17409.12,844,1536,440,3719,3.87120101090789,5.89354847491346,6.73815249459596,7.33693691370762,6.08904487544685,8.22121009392507,3.78418963391826,"Monday",7.77485576666552,52.1340549540307
121,"2018-05-01",72,349.55,25167.6,594,1709,440,3911,4.27666611901606,5.85664661295799,6.38687931936265,7.44366368311559,6.08904487544685,8.27154837475551,3.87120101090789,"Tuesday",7.74196789982069,65.2029422123083
122,"2018-05-02",82,356.67,29246.94,287,1720,645,4227,4.40671924726425,5.87681098453856,5.65948221575962,7.4500795698075,6.4707995037826,8.34924780056679,4.27666611901606,"Wednesday",7.60439634879634,67.814759411102
123,"2018-05-03",68,351.34,23891.12,388,1647,645,3531,4.21950770517611,5.86175441558524,5.96100533962327,7.40671073017764,6.4707995037826,8.16933639592839,4.40671924726425,"Thursday",7.6182510978767,75.8693154197702
124,"2018-05-04",67,352.49,23616.83,268,1631,645,5743,4.20469261939097,5.86502225305559,5.59098698051086,7.39694860262101,6.4707995037826,8.6557370008643,4.21950770517611,"Friday",7.54908271081229,67.1307338238172
125,"2018-05-05",89,355.8,31666.2,490,1395,645,4864,4.48863636973214,5.87436877523173,6.19440539110467,7.24064969425547,6.4707995037826,8.489616423646,4.20469261939097,"Saturday",7.54168309988211,73.2357798170227
126,"2018-05-06",90,363.72,32734.8,413,1221,645,6041,4.49980967033027,5.89638434085771,6.02344759296103,7.1074254741107,6.4707995037826,8.70632484013874,4.48863636973214,"Sunday",7.39878627541995,63.2711142266152
127,"2018-05-07",90,358.22,32239.8,409,1430,645,7666,4.49980967033027,5.88114732279711,6.0137151560428,7.26542972325395,6.4707995037826,8.9445502459405,4.49980967033027,"Monday",7.51697722460432,89.7907279543315
